Index,Name,Glyph
0,alpha,α
1,beta,β
2,gamma,γ
3,delta,δ
4,epsilon,ε
5,zeta,ζ
6,eta,η
7,theta,θ
8,iota,ι
9,kappa,κ
10,lambda,λ
11,mu,μ
12,nu,ν
13,xi,ξ
14,omicron,ο
15,pi,π
16,rho,ρ
17,sigma,σ
18,tau,τ
19,upsilon,υ
20,phi,φ
21,chi,χ
22,psi,ψ
23,omega,ω
